word,annot
ActionScript,
After Effects,
AIR,
AirMac,
AMS-TeX,
ArabTeX,
CircuiTikZ,
ColdFusion,
ConTeXt,
CTAN,
Dreamweaver,
Excel,Microsoft Excel
ExCeL,Exhibition Centre London
FarsiTeX,
FrameMaker,
FreeBSD,
FreeHand,
GitHub,
GoLive,
HomePod,
iMac,
InDesign,
iOS,
iPad,
iPadOS,
iPhone,
iPod,
L'Arc～en～Ciel,
LaTeX,
LiveCycle,
LuaTeX,
macOS,
Macromedia,
MacTeX,
MagSafe,
Microsoft,
MiKTeX,
MusiXTeX,
OCaml,
OneDrive,
Outlook,
PageMaker,
pdfTeX,
Photoshop,
PlayStation,
PostScript,
PowerPoint,
TeX,
TeX Live,
TikZ,
TUGboat,
tvOS,
watchOS,
WebMoney,
XeTeX,
XyMTeX,
